Request_Number,Request_Type,Source,Summary,Date_Complete_Received,Decision_Communicated,Name,Number_of_Pages_Released
AG-2012-00001,General Records,Public,"A complete copy of all records including incident reports, complaint records, logs or letters received relating to the dog residing at {an address} Toronto from August 6, 2008 to present.","January 3, 2012","January 27, 2012",Disclosed in Part: Partially Exempt,16
AG-2012-00004,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 23, 2011.","January 3, 2012","February 2, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00005,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 23, 2011.","January 3, 2012","February 2, 2012",Disclosed in Part: Partially Exempt,14
AG-2012-00006,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on July 9, 2007.","January 3, 2012","February 2, 2012",Disclosed in Part: Partially Exempt,4
AG-2012-00007,General Records,Public,A copy of the forestry report regarding a tree located at {an address}. This report was prepared for Granite Claims around September 2011.,"January 4, 2012","February 1, 2012",Disclosed in Part: No Records Exist,6
AG-2012-00008,General Records,Public,A copy of all building permits and inspections for {an address}.,"January 4, 2012","February 8, 2012",Disclosed in Part: Partially Exempt,210
AG-2012-00009,General Records,Public,"A copy of all building records for {an address} including permits, applications (issued or denied), plans, zoning applications, committee of adjustment decisions, orders, and complaints.","January 5, 2012","February 24, 2012",Disclosed in Part: Partially Exempt,312
AG-2012-00010,General Records,Business,A copy of all documents relating to complaints made to Public Health about City Park Co-operative Apartments Inc.,"January 6, 2012","February 3, 2012",Disclosed in Part: Partially Exempt,111
AG-2012-00012,General Records,Business,A copy of the access request application for #2011-01766 and the City's response. The request was relating to a contract with Humber Treatment Plant.,"January 6, 2012","January 12, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-00013,General Records,Public,A copy of all resident correspondence with Toronto Parking Authority regarding Car Park 91 as well as any council decisions and Toronto Parking Authority corporate decisions regarding Car Park 91 since 1965.,"January 3, 2012","January 6, 2012",Transferred Out in Full,0
AG-2012-00014,General Records,Public,"A copy of all correspondence, notes and complaint records for {an individual}, including correspondence between the complainant and inspectors. Building and ML&Srecords from October 2011 to present.","January 4, 2012","January 20, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-00015,General Records,Public,A copy of the fire inspection reports regarding the store door at {an individual}. The reports occurred because of complaints made in October 2011.,"January 4, 2012","February 2, 2012",All Disclosed,5
AG-2012-00017,General Records,Public,A copy of the by-law inspection report for {an address}.,"January 6, 2012","February 7, 2012",Disclosed in Part: Partially Exempt,16
AG-2012-00018,General Records,Public,A copy of the garage inspection report from {an address}.,"January 5, 2012","February 3, 2012",Disclosed in Part: Partially Exempt,49
AG-2012-00019,General Records,Public,"A copy of all records relating to construction at {an address}, including records regarding the wall that collapsed on May 13, 2011, records regarding the closure of the site on November 26, 2011 and permits documents.","January 9, 2012","February 6, 2012",Disclosed in Part: Partially Exempt,140
AG-2012-00020,General Records,Public,"A copy of statistics from Animal Services relating to the number of dogs, cats, and wildlife animals admitted, adopted and euthanized in 2010 and 2011.","January 9, 2012","February 1, 2012",All Disclosed,2
AG-2012-00021,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on December 26, 2011. Fire Report No. F11163633.","January 9, 2012","February 7, 2012",Disclosed in Part: Partially Exempt,4
AG-2012-00022,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on December 4, 2011 in the garage at 10:50 p.m.","January 9, 2012","February 7, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00023,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on May 11, 2011 at the Home Depot.","January 9, 2012","January 12, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00024,General Records,Public,A copy of all building permits and records of building inspections for {24 addresses}.,"January 10, 2012","February 8, 2012",Disclosed in Part: Partially Exempt,
AG-2012-00025,General Records,Public,"A copy of all building documents for {an address}, including file no. 00-136804 and 00-328-239-01.","January 9, 2012","February 8, 2012",Disclosed in Part: No Records Exist,29
AG-2012-00027,General Records,Public,"A copy of all by-law infractions for {an address}, including all dispatched and non-dispatched called to 311 regarding this address.","January 5, 2012","February 15, 2012",Disclosed in Part: Partially Exempt,111
AG-2012-00028,General Records,Public,"A copy of the fire report for {three addresses}. The incident occurred on May 5, 2011.","January 5, 2012","February 3, 2012",Disclosed in Part: Partially Exempt,35
AG-2012-00029,General Records,Public,A copy of all documents relating to ML&S inspections completed at {an address}.,"January 5, 2012","January 30, 2012",Disclosed in Part: Partially Exempt,53
AG-2012-00030,General Records,Public,A copy of all building permits for {an address}.,"January 10, 2012","February 8, 2012",Disclosed in Part: Partially Exempt,49
AG-2012-00031,General Records,Public,"A copy of the building permit for {an address} dated May 29, 1925. Building Permit No. 88363.","January 10, 2012","February 6, 2012",Disclosed in Part: Partially Exempt,2
AG-2012-00032,General Records,Public,"A copy of all building permits on file prior to 1970 regarding {an address}, or any relevant documentation stating that this property is a legal 8-plex property.","January 10, 2012","February 6, 2012",Disclosed in Part: Partially Exempt,4
AG-2012-00039,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on October 31, 2009. Fire Report No. F09122689.","January 10, 2012","February 7, 2012",Disclosed in Part: Partially Exempt,39
AG-2012-00040,General Records,Public,"A copy of any video footage of the Southbound Don Valley Parkway, south of Eglinton Avenue from October 9, 2008 at 3:30 a.m.","January 18, 2012","January 31, 2012",No Records Exist,0
AG-2012-00041,General Records,Public,"A copy of the video footage of Eglinton Avenue East and Birchmount Road from November 14, 2011 at 4:55 p.m.","January 11, 2012","February 7, 2012",No Records Exist,0
AG-2012-00044,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on July 23, 2011 at 17:05. Fire Report No. F11084055.","January 6, 2012","February 6, 2012",Disclosed in Part: Partially Exempt,2
AG-2012-00045,General Records,Public,A copy of the most recent annual average and the last four quarterly average laboratory test results for the drinking water coming from the filtration plant(s) that serves {an address} and {an address}.,"January 11, 2012","January 25, 2012",All Disclosed,7
AG-2012-00046,General Records,Public,"A copy of the report and investigation file regarding the dog bite incident near {an address} on October 31, 2011.","January 11, 2012","February 9, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-00047,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on April 1, 2011.","January 11, 2012","February 10, 2012",Disclosed in Part: Partially Exempt,14
AG-2012-00048,General Records,Public,"A copy of the building files for {an address}, including file no.'s: 1994 014786 BLD HH 359 398 and 1994 016238 BLD 00 HH 360 850.","January 11, 2012","January 25, 2012",Disclosed in Part: Partially Exempt,52
AG-2012-00049,General Records,Public,"A copy of the parking infraction information regarding the parking infraction no. AT 502546. The infraction occurred on September 17, 2010.","January 11, 2012","February 10, 2012",All Disclosed,6
AG-2012-00050,General Records,Public,"A copy of all building permits, minor variances and committee of adjustment decisions for {an address}.","January 11, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,165
AG-2012-00051,General Records,Public,A copy of all annual employment compensation for {an employee} while she was employed with the City of North York. She began employment around 1984.,"January 11, 2012","February 1, 2012",No Records Exist,0
AG-2012-00052,General Records,Public,"A copy of records regarding the main sewer back up near Trestleside Grove on May 7, 2010. Specifically if other properties reported flooding on May 7th from {Lynvalley Crescent} or {Trestle Grove} and when the city was first notified of the issue.","January 12, 2012","February 7, 2012",Disclosed in Part: Partially Exempt,8
AG-2012-00053,General Records,Public,"A copy of all records relating to the inspection that occurred at {an address} on October 20, 2011.","January 12, 2012","February 7, 2012",All Disclosed,5
AG-2012-00057,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 17, 2011.","January 11, 2012","February 10, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-00057,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 17, 2011.","January 11, 2012","February 10, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-00058,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 16, 2011.","January 11, 2012","February 10, 2012",Disclosed in Part: Partially Exempt,17
AG-2012-00059,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 30, 2011.","January 12, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,20
AG-2012-00059,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 30, 2011.","January 12, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,4
AG-2012-00061,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 17, 2011.","January 13, 2012","February 13, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00062,General Records,Business,"A copy of the fire report for {an address}, Scarborough. The incident occurred on November 10, 2011.","January 13, 2012","February 13, 2012",Disclosed in Part: Partially Exempt,19
